,Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
0,2021,Spider-Man: No Way Home,5083.95,8940,popular,"Action, Adventure, Science Fiction"
1,2022,The Batman,3827.66,1151,popular,"Crime, Mystery, Thriller"
2,2022,No Exit,2618.09,122,below_avg,Thriller
3,2021,Encanto,2402.2,5076,popular,"Animation, Comedy, Family, Fantasy"
4,2021,The King's Man,1895.51,1793,average,"Action, Adventure, Thriller, War"
5,2022,The Commando,1750.48,33,average,"Action, Crime, Thriller"
6,2022,Scream,1675.16,821,average,"Horror, Mystery, Thriller"
7,2022,Kimi,1601.78,206,below_avg,Thriller
8,2022,Fistful of Vengeance,1594.01,114,not_popular,"Action, Crime, Fantasy"
9,2021,Eternals,1537.41,4726,popular,Science Fiction
10,2022,Pursuit,1500.52,16,not_popular,"Action, Crime, Thriller"
11,2021,My Hero Academia: World Heroes' Mission,1485.06,100,popular,"Animation, Action, Fantasy, Adventure"
12,2022,Restless,1468.38,107,not_popular,"Action, Thriller, Crime"
13,2021,Nightmare Alley,1455.14,952,average,"Crime, Drama, Thriller"
14,2022,The Ice Age Adventures of Buck Wild,1431.31,737,average,"Animation, Comedy, Adventure, Family"
15,2022,Hotel Transylvania: Transformania,1373.78,288,average,"Animation, Family, Fantasy, Comedy, Adventure"
16,2022,Texas Chainsaw Massacre,1312.79,521,not_popular,Horror
17,2022,The Requin,1252.32,65,not_popular,Thriller
18,2022,Looop Lapeta,1240.95,31,below_avg,"Action, Comedy, Crime"
19,2021,Red Notice,1178.54,3193,average,"Action, Comedy, Crime, Thriller"
20,2021,Sing 2,1112.9,2172,popular,"Animation, Comedy, Family, Music"
21,2022,The Jack in the Box: Awakening,1096.79,43,not_popular,Horror
22,2021,Venom: Let There Be Carnage,1053.62,6539,average,"Science Fiction, Action, Adventure"
23,2021,The Matrix Resurrections,941.02,3160,average,"Science Fiction, Action, Adventure"
24,2021,Resident Evil: Welcome to Raccoon City,881.09,1312,below_avg,"Horror, Action, Science Fiction"
25,2021,Last Man Down,869.6,318,below_avg,"Action, Thriller"
26,2022,American Siege,867.33,49,not_popular,"Action, Thriller, Crime, Drama"
27,2022,Uncharted,866.39,691,average,"Action, Adventure"
28,2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,845.99,2224,popular,"Animation, Action, Adventure, Fantasy"
29,2021,Ghostbusters: Afterlife,839.9,2225,popular,"Fantasy, Comedy, Adventure"
30,2022,The 355,781.75,313,below_avg,"Action, Thriller"
31,2021,Shang-Chi and the Legend of the Ten Rings,769.18,5845,popular,"Action, Adventure, Fantasy"
32,2022,Marry Me,761.79,230,average,"Romance, Comedy, Music"
33,2022,The Hunting,761.13,10,not_popular,Horror
34,2021,West Side Story,678.19,562,popular,"Drama, Romance, Crime"
35,2022,Through My Window,659.1,1331,popular,"Romance, Drama"
36,2021,The Seven Deadly Sins: Cursed by Light,647.54,312,popular,"Animation, Fantasy"
37,2021,One Shot,622.24,382,average,Action
38,2022,Tom and Jerry: Cowboy Up!,614.11,163,average,"Animation, Comedy, Family, Western"
39,2020,Chernobyl: Abyss,601.96,314,below_avg,"Drama, History, Adventure"
40,2022,Desperate Riders,590.47,10,average,"Western, Action"
41,2021,Clifford the Big Red Dog,585.01,1100,popular,"Family, Adventure, Comedy, Fantasy"
42,2022,Tyler Perry's A Madea Homecoming,577.59,42,average,Comedy
43,2021,The Boss Baby: Family Business,567.42,1785,popular,"Animation, Comedy, Adventure, Family"
44,2022,Turning Red,564.51,8,popular,"Animation, Family, Comedy, Fantasy"
45,2022,Brazen,553.14,211,not_popular,"Thriller, Mystery, Drama"
46,2022,The House,551.65,432,average,"Animation, Drama, Comedy, Horror"
47,2022,Blacklight,533.9,88,not_popular,"Action, Thriller"
48,2021,Ron's Gone Wrong,509.28,1000,popular,"Animation, Science Fiction, Family, Comedy"
49,2021,Free Guy,447.87,5158,popular,"Comedy, Action, Adventure, Science Fiction"
50,2021,Cruella,429.61,6675,popular,"Comedy, Crime"
51,2021,The Suicide Squad,424.98,5689,popular,"Action, Adventure, Fantasy"
52,2021,The Simpsons in Plusaversary,418.59,251,average,"Animation, Comedy, Fantasy"
